fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210906 143606	-0.523576788428181	2683	1069	9	5	3881250
20210906 143857	-0.496357025428733	4320	832	18	5	3253750
20210906 144009	-0.232695369127032	6517	242	15	5	2531250
20210906 144026	-0.3159575806465	2349	712	3	5	3666250
20210906 144118	-0.899462952905742	5908	1907	10	5	2155000
20210906 144246	-0.10611117775843	557	266	8	5	4092500
20210906 144348	-0.751180508524703	3454	892	18	5	3863750
20210906 144431	-0.628577717853477	4707	456	7	5	2313750
20210906 144456	0.0243772419809831	6237	1294	5	5	0
20210906 144549	-0.277720613566635	3857	1678	17	5	2933750
20210906 144640	-0.860610295226797	7150	1423	20	5	2630000
20210906 144711	-0.698915341598331	7853	1529	4	5	2630000
20210906 144736	0.0544751748631827	5007	2	13	5	0
20210906 144922	-0.160842953327422	2140	110	19	5	4405000
20210906 145012	-0.807787844352424	3521	851	13	5	3852500
20210906 145043	-0.595191041892394	7569	1387	7	5	2630000
20210906 145234	-0.359089628874054	1442	112	20	5	4676250
20210906 145345	-0.870144085366466	1720	4	15	5	4062500
20210906 145508	-0.236695068653206	1485	736	20	5	4923750
20210906 145613	-0.230471103315221	785	391	20	5	4375000
20210906 145752	-0.356052545888726	1794	896	20	5	4190000
20210906 145941	-0.111275106355565	1403	171	19	5	5472500
20210906 145958	0.0987796233648708	1367	109	20	5	0
20210906 150055	-0.119068330119743	1332	663	20	5	4738750
20210906 150231	-0.108783241359366	14	3	20	5	835000
20210906 150312	-0.131388091158018	1419	2	8	5	4096250
20210906 150427	-0.148584719389499	1455	45	17	5	3915000
20210906 150516	-0.525816740081995	3943	1857	19	5	2408750
20210906 150609	-0.561491682790709	4872	586	17	5	1587500
20210906 150659	-0.393918587264884	6172	738	20	5	2566250
20210906 150751	-0.312804659471288	2961	1262	17	5	3852500
20210906 150843	-0.32843851632413	6835	661	18	5	2630000
20210906 150934	-0.51837729078175	3379	1086	20	5	3513750
20210906 150953	-0.392070066223387	3653	1090	3	5	3656250
20210906 151050	-0.443246864704019	2272	622	15	5	4882500
20210906 151149	-0.570471127506928	6861	277	16	5	2630000
20210906 151212	-0.37376698315565	4185	1269	4	5	2506250
20210906 151302	-0.16666647561104	5417	773	14	5	1528750
20210906 151355	-0.972206154841674	3351	839	14	5	3926250
20210906 151422	-0.695840582908201	4117	1656	5	5	2933750
20210906 151508	-0.381288750416879	6240	1849	20	5	2630000
20210906 151600	-0.367976774864993	2973	1228	15	5	3852500
20210906 151711	-0.140053366321977	555	173	17	5	2588750
20210906 151759	-0.137022181094997	7939	1432	19	5	2630000
20210906 151906	-0.670076409242046	5685	84	17	5	1850000
20210906 151953	-0.759408437417145	2908	524	10	5	4937500
20210906 152105	-0.0896206610557132	2039	82	17	5	4085000
20210906 152232	-0.46458948421672	1383	1	18	5	4432500
20210906 152351	-0.264694917984723	1188	85	19	5	3972500
20210906 152410	-0.360434695045277	7902	716	3	5	2630000
20210906 152505	-0.862884691739338	5440	550	20	5	1536250
20210906 152539	-0.380038499209937	6202	843	7	5	2630000
20210906 152623	-0.170799383900873	6938	1968	15	5	2630000
20210906 152709	-0.620068948029378	2904	1125	10	5	3727500
20210906 152732	-0.884398465507361	5481	1207	4	5	1480000
20210906 152819	-0.124519913799339	7691	1039	12	5	2630000
20210906 152842	0.0399046985161184	7272	1737	13	5	0
20210906 152935	-0.740135512690153	1923	455	12	5	5060000
20210906 153025	-0.780453842337875	2215	454	11	5	4930000
20210906 153144	-0.425995492236273	2799	13	18	5	3366250
20210906 153239	-0.474588365862137	1518	646	13	5	4768750
20210906 153324	-0.740968257015183	1596	787	9	5	4461250
20210906 153417	-0.753259906668718	2331	1091	14	5	4208750
20210906 153510	-0.719418508435691	2446	53	11	5	3916250
20210906 153615	-0.456731356092641	1499	359	20	5	4975000
20210906 153711	-0.76271066288012	936	276	12	5	4206250
20210906 153809	-0.409724413638747	1033	505	14	5	4710000
20210906 153859	-0.431273518960751	2057	852	11	5	4178750
20210906 153958	-0.109539579041906	1681	572	19	5	5137500
20210906 154017	-0.453488658876001	1836	389	3	5	3635000
20210906 154132	-0.421155598251872	441	220	20	5	2581250
20210906 154234	-0.357267278170965	1308	169	14	5	5368750
20210906 154328	-0.464946835197542	2330	1161	20	5	4087500
20210906 154440	-0.0991813026457329	1427	107	17	5	4598750
20210906 154536	-0.328560332881942	1540	450	13	5	4940000
20210906 154637	-0.370626008597571	1592	354	15	5	5e+06
20210906 154739	-0.373725114124659	1379	11	13	5	4191250
20210906 154839	-0.340256881741574	1198	500	15	5	4590000
20210906 154937	-0.344220294331156	1719	352	14	5	5317500
20210906 155048	-0.70908653638421	1488	250	20	5	4720000
20210906 155135	-0.999745504361877	2043	631	10	5	5125000
20210906 155237	-0.0968728454143922	1328	251	14	5	5008750
20210906 155344	-0.116511890752329	1631	298	20	5	4716250
20210906 155437	-0.947507215444203	1848	771	12	5	4612500
20210906 155525	-0.220643080134471	1476	736	10	5	4923750
20210906 155628	-0.505331056387662	1553	277	15	5	4913750
20210906 155710	-0.970966092725234	3080	478	9	5	4597500
20210906 155812	-0.999799916041123	1526	549	18	5	4770000
20210906 155903	-0.081408324290011	1307	538	11	5	4906250
20210906 160002	-0.759135449271356	1691	612	18	5	5008750
20210906 160102	-0.610399133091446	1840	535	18	5	5013750
20210906 160159	-0.6428947355401	1641	583	14	5	5187500
20210906 160251	-0.236729582945739	1682	187	11	5	5165000
20210906 160340	-0.753456738844512	7997	459	12	5	2630000
20210906 160439	-0.251233455652256	1424	304	14	5	4810000
20210906 160534	-0.220774002834863	1877	578	13	5	5025000
20210906 160621	-0.197888239778425	2377	365	10	5	4937500
20210906 160640	-0.73433324512133	2692	660	3	5	3666250
20210906 160717	-0.0765149180059285	8000	145	8	5	2630000
20210906 160815	-0.999938236471252	1393	402	14	5	5098750
20210906 160917	-0.332643519882303	2218	394	18	5	4935000
20210906 161018	-0.414645935166368	1814	182	14	5	4975000
20210906 161109	-0.203873998570094	1346	307	11	5	5020000
20210906 161207	-0.127793919673172	1362	180	8	5	5503750
20210906 161258	-0.914442491580559	1738	503	11	5	4913750
20210906 161339	-0.0954677311465611	1653	262	8	5	4937500
20210906 161420	-0.35659441526689	1336	225	8	5	5143750
20210906 161440	-0.124560221621611	1119	545	3	5	3635000
20210906 161458	-0.357703035971846	7989	2000	3	5	2630000
20210906 161619	-0.0935070965123913	7998	1	20	5	2320000
20210906 161716	-0.951495076133385	2487	584	15	5	4936250
20210906 161753	-0.999469184948542	3094	1547	7	5	3086250
20210906 161837	-0.714203721646969	7992	2000	19	5	2630000
20210906 161857	-0.0802221154751752	3996	1998	3	5	2541250
20210906 161916	-0.999795560377241	7983	2	3	5	2630000
20210906 162004	-0.510591418125289	1373	376	10	5	5228750
20210906 162101	-0.999977104180834	7880	341	18	5	2630000
20210906 162154	-0.217095268559158	2573	1141	19	5	3727500
20210906 162253	-0.617551108707832	1278	409	14	5	5212500
20210906 162312	-0.999636118381107	7462	2000	3	5	2630000
20210906 162408	-0.508044525421185	1276	169	12	5	5368750
20210906 162502	-0.0993694636438449	1809	741	13	5	4678750
20210906 162602	-0.999730165353614	2237	196	14	5	4838750
20210906 162650	-0.108157190645581	1424	181	10	5	5193750
20210906 162754	-0.999542845923	2113	337	20	5	5140000
20210906 162851	-0.999770390813324	2007	398	14	5	5091250
20210906 163009	-0.999822770562588	1279	143	20	5	4588750
20210906 163105	-0.702540770997326	2365	691	14	5	4810000
20210906 163155	-0.330042646285873	2049	359	11	5	5158750
20210906 163228	-0.999993533016503	1250	387	6	5	5266250
20210906 163329	-0.776504630588827	2761	387	20	5	5013750
20210906 163427	-0.161292966265409	1307	191	8	5	5543750
20210906 163526	-0.869515052169895	2240	548	20	5	4850000
20210906 163607	-0.589235689531192	1211	201	8	5	5402500
20210906 163648	-0.999987711729588	1285	181	8	5	5503750
20210906 163729	-0.999821236678295	1467	268	8	5	4928750
20210906 163753	-0.99483604404585	1137	135	4	5	2993750
20210906 163918	-0.99924076767773	1076	536	7	5	4956250
20210906 164022	-0.609494591765852	1265	529	6	5	5170000
20210906 164150	-0.999939484256553	2757	7	19	5	3658750
20210906 164240	-0.999961557849388	1173	109	10	5	4498750
20210906 164330	-0.907641896466544	1305	189	10	5	5368750
20210906 164407	-0.889043660649462	1237	191	7	5	4937500
20210906 164452	-0.717953880913837	1271	455	9	5	5e+06
20210906 164535	-0.119235483188533	3663	188	9	5	3872500
20210906 164553	-0.999682115330189	6427	168	3	5	2630000
20210906 164645	-0.999683741134609	2652	1326	20	5	3916250
20210906 164743	-0.582285976239099	1876	378	14	5	5211250
20210906 164825	-0.115598113790585	856	186	8	5	4366250
20210906 164935	-0.571115161366457	1344	177	17	5	5340000
20210906 165047	-0.135307046715536	1650	177	18	5	5115000
20210906 165118	-0.999847184273941	3934	542	6	5	3112500
20210906 165150	-0.552609381811584	3319	457	6	5	4231250
20210906 165208	-0.661840180057737	6576	1999	3	5	2630000
20210906 165255	-0.999991791353922	6667	990	12	5	2630000
20210906 165350	-0.108397366589311	3110	510	14	5	4610000
20210906 165449	-0.320341976765876	3675	476	19	5	3657500
20210906 165507	-0.194664912808602	7023	1	3	5	2630000
20210906 165539	-0.168262811393942	2858	520	6	5	4708750
20210906 165624	-0.597470627985337	1314	174	9	5	5408750
20210906 165702	-0.181916910445471	1464	173	7	5	4678750
20210906 165749	-0.999253822127262	7218	1	10	5	2482500
20210906 165808	-0.228337962792686	3297	1646	3	5	3005000
20210906 165853	-0.999424665220413	1281	258	9	5	5100000
20210906 165935	-0.140321883581462	1356	607	8	5	4996250
20210906 170031	-0.552280922756058	2722	454	14	5	5018750
20210906 170050	-0.145277981681701	3480	213	3	5	3666250
20210906 170139	-0.308678847355663	2903	411	11	5	5013750
20210906 170238	-0.570790420564343	1357	189	13	5	5303750
20210906 170316	-0.999700276480622	1325	483	7	5	5077500
20210906 170400	-0.450932238513176	7999	2000	12	5	2630000
20210906 170501	-0.808839314488415	1368	188	14	5	5303750
20210906 170614	-0.852163434019975	1841	179	18	5	4975000
20210906 170720	-0.856231728389144	2428	360	17	5	4937500
20210906 170842	-0.150166183203128	1344	198	18	5	5268750
20210906 170924	-0.577124408546486	1082	401	8	5	4987500
20210906 171009	-0.589242716987603	1788	569	9	5	5025000
20210906 171105	-0.997152470854511	1390	185	12	5	5062500
20210906 171209	-0.365563597841038	1400	425	19	5	5061250
20210906 171300	-0.460157087706475	7999	1065	19	5	2630000
20210906 171406	-0.861600710194063	1281	396	18	5	5153750
20210906 171506	-0.233038631238131	2565	622	19	5	4968750
20210906 171548	-0.127479270849746	1281	218	8	5	5226250
20210906 171655	-0.925462395298455	1335	195	16	5	5268750
20210906 171737	-0.139864127984819	1982	990	8	5	4276250
20210906 171807	-0.999846822289007	8000	927	6	5	2630000
20210906 171853	-0.162924181284056	1356	177	9	5	5417500
20210906 171949	-0.107944429817898	1953	379	13	5	5065000
20210906 172041	-0.721894535084833	2896	1447	16	5	3771250
20210906 172111	-0.998819625898943	1950	969	5	5	2585000
20210906 172158	-0.155053729218989	2661	618	10	5	4897500
20210906 172239	-0.156906454689456	2407	169	8	5	4577500
20210906 172338	-0.829927539987536	1286	602	14	5	4515000
20210906 172425	-0.998867781780364	4005	1999	11	5	2117500
20210906 172523	-0.999334556538025	2282	757	20	5	4693750
20210906 172625	-0.937709038626087	1740	392	19	5	5215000
20210906 172726	-0.321975821341482	1868	591	20	5	5031250
20210906 172831	-0.711653960871829	1314	188	8	5	5545000
20210906 172850	-0.070727681712729	6577	382	3	5	2630000
20210906 172933	-0.158220983179017	1364	370	8	5	5193750
20210906 173025	-0.163647892494141	1861	516	8	5	4963750
20210906 173055	0.0996895193371698	3295	828	3	5	0
20210906 173153	-0.500235409263879	1389	371	14	5	5062500
20210906 173246	-0.669760824866213	1311	190	11	5	5367500
20210906 173347	-0.727657886155657	1672	402	16	5	5157500
20210906 173442	-0.355722581197796	2617	527	13	5	4937500
20210906 173546	-0.632702168389523	1498	749	20	5	4763750
20210906 173652	-0.644372810932175	2722	629	19	5	4968750
20210906 173740	-0.99988538956822	7998	2000	15	5	2630000
20210906 173844	-0.999715202574994	2690	428	19	5	5013750
20210906 173917	-0.617752281660291	315	156	6	5	4218750
20210906 174023	-0.658210216202968	1310	165	15	5	5370000
20210906 174122	-0.348285705248565	1318	186	12	5	5140000
20210906 174213	-0.409592423021208	1258	564	8	5	4817500
20210906 174308	-0.998038931993245	2692	635	11	5	4968750
20210906 174455	-0.226286374259233	1968	701	18	5	4936250
