fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	ratio_corte	iteracion_bayesiana	ganancia
20211014 163832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	16	TRUE	0.0701206229844441	0.560153721124516	3778	490	12	69	0.0312826637021556	1	7939374.9563125
20211014 163842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	18	TRUE	0.0673167659187068	0.836694547155639	4507	433	10	35	0.0312699169457838	2	7864374.9563875
20211014 163904	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	79	TRUE	0.0511888494257194	0.539030537905637	3349	776	1	40	0.0306920640040008	3	7889999.9578
20211014 163930	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	96	TRUE	0.0498951349345346	0.364502198359696	843	321	14	30	0.0319115036577414	4	7969624.958175
20211014 163940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	6	TRUE	0.0367774802353233	0.304344585738727	5876	616	0	22	0.0364748422988412	5	7952124.953875
20211014 163949	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	23	TRUE	0.0416992293251678	0.210105796897551	1349	84	12	73	0.0354551018194776	6	7698124.9549375
20211014 163959	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	5	TRUE	0.0846777166302006	0.138620817710762	4742	655	8	56	0.0318605166384151	7	8035874.956775
20211014 164016	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	91	TRUE	0.0629490191023797	0.271079455476138	3431	918	15	4	0.0287269391284287	8	7903124.958125
20211014 164034	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	75	TRUE	0.0995834490703419	0.770605414896272	130	133	11	80	0.0297827954173708	9	7799499.956625
20211014 164042	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	16	TRUE	0.0441057460933613	0.343383114886819	6459	407	15	19	0.0316480707055419	10	7867749.9554125
20211014 164057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	66	TRUE	0.0935573759217126	0.66839285500173	4318	953	19	67	0.0303096613245315	11	7930624.9585
20211014 164130	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	107	TRUE	0.0633798945198456	0.930026474990882	2428	183	4	78	0.0308960120963894	12	8039499.9584375
20211014 164145	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	22	TRUE	0.0202826934160354	0.715836101587047	2123	369	1	11	0.0312571701898369	13	7879374.9563125
20211014 164156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	29	TRUE	0.055460713073456	0.995801207947079	5421	826	20	61	0.0311339515490169	14	7840624.9563125
20211014 164204	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	4	TRUE	0.0892702971220327	0.784627223262214	5348	300	13	27	0.032223799182052	15	7928999.9561125
20211014 164217	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	39	TRUE	0.0334143913933076	0.878530795068946	6148	718	5	86	0.0310957112807513	16	7856999.9565125
20211014 164227	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	20	TRUE	0.0787955049316709	0.442041406832868	1531	569	6	2	0.0328207722552061	17	7868124.9555
20211014 164237	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	19	TRUE	0.0822728274196076	0.91537905553414	7739	241	17	96	0.0309767415581553	18	7856874.9562
20211014 164251	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	66	TRUE	0.027886257537175	0.116034431228763	2803	749	3	48	0.0323618890377185	19	7800874.95615
20211014 164300	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	16	TRUE	0.0579937209933996	0.411544972489355	7378	167	3	45	0.0288905224968388	20	7838499.9567125
20211014 164310	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	9	TRUE	0.0739045818538095	0.59577312185429	756	897	7	89	0.0319030058257546	21	7881874.956
20211014 164319	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	25	TRUE	0.0312673210081023	0.222656172927236	7330	517	17	100	0.0342739024340026	22	7793124.95525
20211014 164328	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	19	TRUE	0.0926375738244193	0.503459727723384	2030	33	19	53	0.0312274277580195	23	7873124.95675
20211014 164342	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	34	TRUE	0.0255963579565287	0.649342715533567	6804	1021	7	16	0.0311551961418368	24	7840624.9564
20211014 164358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	90	TRUE	0.087828403994292	0.164045403930568	5531	817	3	13	0.032570086055342	25	7986749.955075
20211014 164408	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	37	TRUE	0.0865732305615034	0.156182837376675	4952	710	7	42	0.0292941697655164	26	7890124.95875
20211014 164427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	74	TRUE	0.0470910345209949	0.927946930519445	5120	892	6	18	0.028185201994312	27	7974124.9592
20211014 164446	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	90	TRUE	0.0613349088375829	0.536491843946581	5728	127	1	79	0.0301545757942691	28	7926624.9582375
20211014 164455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	10	TRUE	0.0892179601414874	0.344205973715265	3581	720	4	29	0.0320687136530643	29	7956624.955125
20211014 164506	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	26	TRUE	0.0617231216071732	0.835880168458656	6335	835	13	72	0.031138200467241	30	7890624.9564
20211014 164515	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	5	TRUE	0.0576264727161452	0.435320239285543	5921	123	1	34	0.0312954104568279	31	7983124.954775
20211014 164524	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	13	TRUE	0.0967118407857046	0.646789948417689	6268	362	10	86	0.0293196632803845	32	7940624.9560875
20211014 164534	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	20	TRUE	0.0837261939996507	0.535053414060053	6515	182	4	78	0.0313378996437424	33	7891874.9567125
20211014 164543	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	9	TRUE	0.0876148225514218	0.711499118823139	7585	796	19	79	0.0318690144752882	34	7878874.956125
20211014 164553	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	13	TRUE	0.0806598306624405	0.340655520004686	205	504	1	33	0.0332074238535368	35	7887124.95505
20211014 164608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	41	TRUE	0.0281050638545491	0.666478194757644	3026	238	16	45	0.0311636939795597	36	7884374.9563
